Target_Audience,Customer_Segment,Spend,Acquisition_Cost,Engagement_Score,Impressions,Clicks,Conversion_Rate,Conversions,Revenue,ROI,Spend_Impressions,Clicks_Engagement,Spend_x_Engagement,ROI_x_Clicks
Middle Age,1,500.0,53.6106843974235,8.317258109104719,31426,510,0.02098917612000221,10,2270.514497216561,4.541019912393297,0.015910392162209883,4241.801635643406,6352.522607423566,28.31947849015905
Middle Age,0,500.0,91.59023437966168,4.0900958693310905,81404,4868,0.03377744335961378,164,17307.108704754595,34.614148181212826,0.006142204238830963,19910.586691903747,2710.5048555368585,293.89640459181226
Seniors,1,500.0,26.147831940893756,3.9346041645351333,44964,1466,0.014034309605471175,20,5826.3077495463585,11.65259219390833,0.011120006869495444,5768.129705208506,2587.326645395609,84.95875578577142
Young Adults,0,500.0,96.09002464960852,7.625630935624541,82986,4928,0.030000967809248137,147,18933.488051167806,37.86690036853488,0.006025112597002957,37579.109250757734,5724.017374753014,321.9781417421839
Seniors,0,500.0,92.41753148466128,7.177202937832355,96161,4013,0.02650541123009652,106,6348.827924034978,12.697630452809053,0.005199613094709777,28802.11538952124,5322.507423169678,105.35914140186306
Young Adults,0,500.0,56.33861098068364,5.6187748785687734,94717,7145,0.06921334969032084,494,28840.21505695782,57.68031475328613,0.005278883354847774,40146.14650737389,3967.7103720559876,511.87288088310515
Young Adults,1,500.0,73.97689603495972,4.782344168912628,34318,1130,0.0308314934817831,34,8972.214776837069,17.944393664886807,0.014569613189299693,5404.04891087127,3269.9340786661282,126.16447435314016
Seniors,1,500.0,99.32999954665034,6.914437687588082,29118,721,0.00982543551040511,7,471.92763806899734,0.9438533884312179,0.017171508442492326,4985.309572751007,5089.536636248611,6.2124667300834515
Young Adults,0,500.0,66.62112827963327,1.2918998830597743,83428,2066,0.004027320710185836,8,2055.9646588194128,4.111921093796638,0.005993191662353266,2669.0651584014936,679.8993641911972,31.389803479010013
Middle Age,0,500.0,32.26740185842063,1.6812061822533415,78310,4326,0.0077238651553405546,33,2888.3891888131793,5.776766824092711,0.006384880521199329,7272.897944427956,932.6424489654321,48.366729713743084
Middle Age,1,500.0,89.02307601478088,6.157780791683545,38203,855,0.023487859890391382,20,2381.143452024625,4.762277379494491,0.013087977041384787,5264.902576889431,4428.7286716213175,32.156184472530576
Young Adults,0,500.0,35.06137109179061,2.892508666672252,76332,2665,0.022518863005970176,60,17718.50086890357,35.43693086394541,0.006550332671090333,7708.535596681551,1788.5439105900543,279.538364334351
Middle Age,1,500.0,44.295374170447225,7.97305595691536,26170,1450,0.1042929451296049,151,34917.06420873052,69.83398874948354,0.01910584565892833,11560.931137527272,6038.370806847656,508.39201442806166
Seniors,2,500.0,90.51365147944276,7.9512757714470705,72308,4535,0.11324643943577352,513,44371.0774348417,88.74197738572865,0.0069148640964365755,36059.035623512464,6018.582025656386,747.1897762154991
Middle Age,0,500.0,44.20219088780773,7.389658725559487,87443,2076,0.039395205221589034,81,9526.151808105365,19.052265511679707,0.005718010524364323,15340.931514261494,5512.127602692948,145.53415616319847
